abbr1,abbr2,full_name
ARZ,ARI,Arizona Cardinals
ATL,ATL,Atlanta Falcons
BLT,BAL,Baltimore Ravens
BUF,BUF,Buffalo Bills
CAR,CAR,Carolina Panthers
CHI,CHI,Chicago Bears
CIN,CIN,Cincinnati Bengals
CLV,CLE,Cleveland Browns
DAL,DAL,Dallas Cowboys
DEN,DEN,Denver Broncos
DET,DET,Detroit Lions
GB,GB,Green Bay Packers
HST,HOU,Houston Texans
IND,IND,Indianapolis Colts
JAX,JAC,Jacksonville Jaguars
KC,KC,Kansas City Chiefs
LV,LV,Las Vegas Raiders
LAC,LAC,Los Angeles Chargers
LAR,LAR,Los Angeles Rams
MIA,MIA,Miami Dolphins
MIN,MIN,Minnesota Vikings
NE,NE,New England Patriots
NO,NO,New Orleans Saints
NYG,NYG,New York Giants
NYJ,NYJ,New York Jets
PHI,PHI,Philadelphia Eagles
PIT,PIT,Pittsburgh Steelers
SF,SF,San Francisco 49ers
SEA,SEA,Seattle Seahawks
TB,TB,Tampa Bay Buccaneers
TEN,TEN,Tennessee Titans
WSH,WAS,Washington Commanders